#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
571,Julian Merryweather,657240,MIL,RP,Merryweather,Julian,Merryweather,Julian
573,Glenn Otto,657248,HOU,RP,Otto,Glenn,Otto,Glenn
574,Peter Strzelecki,657265,TB,RP,Strzelecki,Peter,Strzelecki,Peter
575,Logan Webb,657277,SF,SP,Webb,Logan,Webb,Logan
576,Clarke Schmidt,657376,NYY,SP,Schmidt,Clarke,Schmidt,Clarke
577,Matt Gage,657424,SF,RP,Gage,Matt,Gage,Matt
578,Brennan Bernardino,657514,BOS,RP,Bernardino,Brennan,Bernardino,Brennan
580,Caleb Ferguson,657571,SEA,RP,Ferguson,Caleb,Ferguson,Caleb
581,Reed Garrett,657585,NYM,RP,Garrett,Reed,Garrett,Reed
582,Tim Hill,657612,NYY,RP,Hill,Tim,Hill,Tim
583,Jared Koenig,657649,MIL,RP,Koenig,Jared,Koenig,Jared
587,Joe Ryan,657746,MIN,SP,Ryan,Joe,Ryan,Joe
588,Connor Seabold,657756,ATL,RP,Seabold,Connor,Seabold,Connor
590,Eric Stout,657770,SEA,RP,Stout,Eric,Stout,Eric
591,Adonis Medina,658431,PHI,RP,Medina,Adonis,Medina,Adonis
592,Junior Fernandez,658551,NYM,RP,Fernandez,Junior,Fernández,Junior
593,Pedro Avila,658648,CLE,RP,Avila,Pedro,Avila,Pedro
594,Shohei Ohtani,660271,LAD,SP,Ohtani,Shohei,Ohtani,Shohei
595,Enoli Paredes,660600,ATL,RP,Paredes,Enoli,Paredes,Enoli
597,Huascar Ynoa,660623,MIN,RP,Ynoa,Huascar,Ynoa,Huascar
603,Elvin Rodriguez,660730,ARI,SP,Rodriguez,Elvin,Rodríguez,Elvin
604,Jose Suarez,660761,ATL,RP,Suarez,Jose,Suarez,José
606,Yerry De los Santos,660787,NYY,RP,De los Santos,Yerry,De los Santos,Yerry
607,Brusdar Graterol,660813,LAD,RP,Graterol,Brusdar,Graterol,Brusdar
609,Eduard Bazardo,660825,SEA,RP,Bazardo,Eduard,Bazardo,Eduard
612,Enyel De Los Santos,660853,HOU,RP,De Los Santos,Enyel,De Los Santos,Enyel
613,Jorge Alcala,660896,STL,RP,Alcala,Jorge,Alcala,Jorge
614,Francisco Perez,660906,ATH,RP,Perez,Francisco,Pérez,Francisco
615,Adrian Martinez,661309,ATH,RP,Martinez,Adrian,Martínez,Adrián
616,Oliver Ortega,661383,NYM,RP,Ortega,Oliver,Ortega,Oliver
618,Jhoan Duran,661395,PHI,RP,Duran,Jhoan,Duran,Jhoan
619,Emmanuel Clase,661403,CLE,RP,Clase,Emmanuel,Clase,Emmanuel
621,Luis Gil,661563,NYY,SP,Gil,Luis,Gil,Luis
623,Andres Munoz,662253,SEA,RP,Munoz,Andres,Muñoz,Andrés
624,Robert Suarez,663158,SD,RP,Suarez,Robert,Suarez,Robert
626,Matt Waldron,663362,SD,SP,Waldron,Matt,Waldron,Matt
628,Ryan Feltner,663372,COL,SP,Feltner,Ryan,Feltner,Ryan
629,Thomas Szapucki,663378,DET,RP,Szapucki,Thomas,Szapucki,Thomas
630,Trent Thornton,663423,SEA,RP,Thornton,Trent,Thornton,Trent
631,Tanner Rainey,663432,DET,RP,Rainey,Tanner,Rainey,Tanner
632,Davis Martin,663436,CHW,SP,Martin,Davis,Martin,Davis
633,Konnor Pilkington,663455,WSH,RP,Pilkington,Konnor,Pilkington,Konnor
635,Kris Bubic,663460,KC,SP,Bubic,Kris,Bubic,Kris
636,Isaiah Campbell,663462,BOS,RP,Campbell,Isaiah,Campbell,Isaiah
637,Kolby Allard,663465,CLE,RP,Allard,Kolby,Allard,Kolby
638,Cole Sands,663485,MIN,RP,Sands,Cole,Sands,Cole
639,Ben Leeper,663510,CHC,RP,Leeper,Ben,Leeper,Ben
642,Bryan Hudson,663542,CHW,RP,Hudson,Bryan,Hudson,Bryan
643,Sean Hjelle,663546,SF,RP,Hjelle,Sean,Hjelle,Sean
644,Casey Mize,663554,DET,SP,Mize,Casey,Mize,Casey
645,Shane McClanahan,663556,TB,SP,McClanahan,Shane,McClanahan,Shane
646,Jovani Moran,663558,BOS,RP,Moran,Jovani,Morán,Jovani
647,Bailey Falter,663559,KC,SP,Falter,Bailey,Falter,Bailey
648,Stephen Kolek,663568,KC,SP,Kolek,Stephen,Kolek,Stephen
649,Tony Santillan,663574,CIN,RP,Santillan,Tony,Santillan,Tony
656,Jake Irvin,663623,WSH,SP,Irvin,Jake,Irvin,Jake
658,Ethan Small,663629,SF,RP,Small,Ethan,Small,Ethan
661,Thaddeus Ward,663658,BAL,RP,Ward,Thaddeus,Ward,Thaddeus
663,Nic Enright,663671,CLE,RP,Enright,Nic,Enright,Nic
664,Hogan Harris,663687,ATH,RP,Harris,Hogan,Harris,Hogan
667,James McArthur,663704,KC,RP,McArthur,James,McArthur,James
671,Daniel Lynch IV,663738,KC,SP,Lynch IV,Daniel,Lynch IV,Daniel
673,Reiss Knehr,663753,SD,RP,Knehr,Reiss,Knehr,Reiss
675,Chase Shugart,663767,PIT,RP,Shugart,Chase,Shugart,Chase
676,Bryan Hoeing,663773,SD,RP,Hoeing,Bryan,Hoeing,Bryan
677,Patrick Sandoval,663776,BOS,SP,Sandoval,Patrick,Sandoval,Patrick
679,Jackson Kowar,663804,SEA,RP,Kowar,Jackson,Kowar,Jackson
683,Jordan Hicks,663855,BOS,SP,Hicks,Jordan,Hicks,Jordan
684,Nate Pearson,663878,HOU,RP,Pearson,Nate,Pearson,Nate
686,Brendon Little,663893,TOR,RP,Little,Brendon,Little,Brendon
689,Brady Singer,663903,CIN,SP,Singer,Brady,Singer,Brady
691,Tristan Beck,663941,SF,RP,Beck,Tristan,Beck,Tristan
692,Tyler Holton,663947,DET,RP,Holton,Tyler,Holton,Tyler
693,Tyler Ivey,663959,HOU,SP,Ivey,Tyler,Ivey,Tyler
696,Tyler Phillips,663969,MIA,RP,Phillips,Tyler,Phillips,Tyler
697,Blair Calvo,663971,DET,RP,Calvo,Blair,Calvo,Blair
698,Chris Paddack,663978,DET,SP,Paddack,Chris,Paddack,Chris
699,Trevor Stephan,663986,CLE,RP,Stephan,Trevor,Stephan,Trevor
700,Nick Vespi,663989,PHI,RP,Vespi,Nick,Vespi,Nick
705,Travis Lakins Sr.,664042,CHW,RP,Lakins Sr.,Travis,Lakins Sr.,Travis
706,Cody Stashak,664054,PHI,RP,Stashak,Cody,Stashak,Cody
711,Tony Gonsolin,664062,LAD,SP,Gonsolin,Tony,Gonsolin,Tony
713,Garrett Cleavinger,664076,TB,RP,Cleavinger,Garrett,Cleavinger,Garrett
714,Tyler Jay,664079,MIL,RP,Jay,Tyler,Jay,Tyler
715,Sean Poppen,664092,LAA,RP,Poppen,Sean,Poppen,Sean
716,Scott Effross,664123,NYY,RP,Effross,Scott,Effross,Scott
717,Pete Fairbanks,664126,TB,RP,Fairbanks,Pete,Fairbanks,Pete
718,Geoff Hartlieb,664129,KC,RP,Hartlieb,Geoff,Hartlieb,Geoff
719,Ian Gibaut,664139,CIN,RP,Gibaut,Ian,Gibaut,Ian
720,JT Brubaker,664141,SF,RP,Brubaker,JT,Brubaker,JT
721,Joey Lucchesi,664192,SF,SP,Lucchesi,Joey,Lucchesi,Joey
722,Taylor Clarke,664199,KC,RP,Clarke,Taylor,Clarke,Taylor
723,Phil Maton,664208,TEX,RP,Maton,Phil,Maton,Phil
725,Framber Valdez,664285,HOU,SP,Valdez,Framber,Valdez,Framber
726,Dauri Moreta,664294,PIT,RP,Moreta,Dauri,Moreta,Dauri
727,Cristian Javier,664299,HOU,SP,Javier,Cristian,Javier,Cristian
728,Luis Contreras,664351,HOU,RP,Contreras,Luis,Contreras,Luis
729,Jose Urquidy,664353,DET,SP,Urquidy,Jose,Urquidy,José
734,Jose Espada,664744,BAL,RP,Espada,Jose,Espada,Jose
736,Jake Cousins,664776,NYY,RP,Cousins,Jake,Cousins,Jake
737,Danny Young,664849,NYM,RP,Young,Danny,Young,Danny
738,Jay Flaa,664852,ATL,RP,Flaa,Jay,Flaa,Jay
739,Ryan Helsley,664854,NYM,RP,Helsley,Ryan,Helsley,Ryan
741,Justin Lawrence,664875,PIT,RP,Lawrence,Justin,Lawrence,Justin
743,Anthony Misiewicz,664948,MIN,RP,Misiewicz,Anthony,Misiewicz,Anthony
746,Trevor Kelley,665001,SEA,RP,Kelley,Trevor,Kelley,Trevor
748,Hobie Harris,665048,BOS,RP,Harris,Hobie,Harris,Hobie
750,Dean Kremer,665152,BAL,SP,Kremer,Dean,Kremer,Dean
758,Deivi Garcia,665620,CIN,RP,Garcia,Deivi,García,Deivi
759,Luis Medina,665622,ATH,SP,Medina,Luis,Medina,Luis
760,Elvis Peguero,665625,CHW,RP,Peguero,Elvis,Peguero,Elvis
761,Kervin Castro,665645,NYY,RP,Castro,Kervin,Castro,Kervin
762,Elvis Alvarado,665660,ATH,RP,Alvarado,Elvis,Alvarado,Elvis
763,Reiver Sanmartin,665665,CIN,RP,Sanmartin,Reiver,Sanmartin,Reiver
764,Antonio Santos,665733,CHC,RP,Santos,Antonio,Santos,Antonio
765,Angel Felipe,665734,LAA,RP,Felipe,Angel,Felipe,Angel
769,Edward Cabrera,665795,MIA,SP,Cabrera,Edward,Cabrera,Edward
777,Javier Assad,665871,CHC,SP,Assad,Javier,Assad,Javier
780,Jose Marte,665896,NYM,RP,Marte,Jose,Marte,José
789,Ian Anderson,666120,ATL,RP,Anderson,Ian,Anderson,Ian
790,Tyler Baum,666121,ATH,RP,Baum,Tyler,Baum,Tyler
792,Braxton Garrett,666129,MIA,SP,Garrett,Braxton,Garrett,Braxton
795,Cole Ragans,666142,KC,SP,Ragans,Cole,Ragans,Cole
799,Karl Kauffmann,666154,COL,RP,Kauffmann,Karl,Kauffmann,Karl
800,Nick Lodolo,666157,CIN,SP,Lodolo,Nick,Lodolo,Nick
802,Matt Manning,666159,PHI,SP,Manning,Matt,Manning,Matt
807,Mason Thompson,666168,WSH,RP,Thompson,Mason,Thompson,Mason
808,Ryan Zeferjahn,666171,LAA,RP,Zeferjahn,Ryan,Zeferjahn,Ryan
816,Jesus Luzardo,666200,PHI,SP,Luzardo,Jesus,Luzardo,Jesús
817,Alek Manoah,666201,ATL,SP,Manoah,Alek,Manoah,Alek
818,Riley Pint,666207,CLE,RP,Pint,Riley,Pint,Riley
819,Alex Speas,666208,MIN,RP,Speas,Alex,Speas,Alex
821,Joey Wentz,666214,ATL,SP,Wentz,Joey,Wentz,Joey
822,Forrest Whitley,666215,TB,RP,Whitley,Forrest,Whitley,Forrest
823,George Soriano,666277,MIA,RP,Soriano,George,Soriano,George
825,Jordan Balazovic,666364,DET,RP,Balazovic,Jordan,Balazovic,Jordan
826,Matt Brash,666374,SEA,RP,Brash,Matt,Brash,Matt
829,Gregory Santos,666619,SEA,RP,Santos,Gregory,Santos,Gregory
832,Juan Morillo,666661,ARI,RP,Morillo,Juan,Morillo,Juan
834,Max Castillo,666721,PHI,RP,Castillo,Max,Castillo,Max
835,Jhony Brito,666745,SD,RP,Brito,Jhony,Brito,Jhony
837,Camilo Doval,666808,NYY,RP,Doval,Camilo,Doval,Camilo
842,Yennier Cano,666974,BAL,RP,Cano,Yennier,Cano,Yennier
843,Tommy Nance,667297,TOR,RP,Nance,Tommy,Nance,Tommy
844,Bryan Mata,667356,BOS,RP,Mata,Bryan,Mata,Bryan
845,Zach Jackson,667427,ATH,RP,Jackson,Zach,Jackson,Zach
846,Marshall Kasowski,667445,LAD,RP,Kasowski,Marshall,Kasowski,Marshall
848,John King,667463,STL,RP,King,John,King,John
850,Evan Kravetz,667478,CIN,SP,Kravetz,Evan,Kravetz,Evan
851,Robert Dugger,667498,TEX,RP,Dugger,Robert,Dugger,Robert
853,Kyle Tyler,667725,CHW,RP,Tyler,Kyle,Tyler,Kyle
854,Jose Soriano,667755,LAA,SP,Soriano,Jose,Soriano,José
856,Cole Winn,668390,TEX,RP,Winn,Cole,Winn,Cole
857,Hagen Danner,668470,SEA,RP,Danner,Hagen,Danner,Hagen
860,Stephen Nogosek,668665,KC,RP,Nogosek,Stephen,Nogosek,Stephen
862,Lucas Erceg,668674,KC,RP,Erceg,Lucas,Erceg,Lucas
863,Zach Plesac,668676,STL,SP,Plesac,Zach,Plesac,Zach
864,Zac Gallen,668678,ARI,SP,Gallen,Zac,Gallen,Zac
867,Noah Murdock,668716,KC,RP,Murdock,Noah,Murdock,Noah
873,Colin Peluse,668761,ATH,RP,Peluse,Colin,Peluse,Colin
874,Dylan File,668766,SEA,SP,File,Dylan,File,Dylan
877,Max Kranick,668820,NYM,RP,Kranick,Max,Kranick,Max
879,Easton McGee,668834,MIL,RP,McGee,Easton,McGee,Easton
883,Zack Thompson,668868,STL,RP,Thompson,Zack,Thompson,Zack
884,Caleb Kilian,668873,CHC,RP,Kilian,Caleb,Kilian,Caleb
885,Blair Henley,668874,HOU,SP,Henley,Blair,Henley,Blair
886,Hunter Greene,668881,CIN,SP,Greene,Hunter,Greene,Hunter
890,Gavin Williams,668909,CLE,SP,Williams,Gavin,Williams,Gavin
892,Graham Ashcraft,668933,CIN,RP,Ashcraft,Graham,Ashcraft,Graham
894,JoJo Romero,668941,STL,RP,Romero,JoJo,Romero,JoJo
896,Tobias Myers,668964,MIL,SP,Myers,Tobias,Myers,Tobias
897,Gavin Hollowell,668970,CHC,RP,Hollowell,Gavin,Hollowell,Gavin
898,Casey Legumina,668984,SEA,RP,Legumina,Casey,Legumina,Casey
903,Ryan Rolison,669020,COL,RP,Rolison,Ryan,Rolison,Ryan
904,MacKenzie Gore,669022,WSH,SP,Gore,MacKenzie,Gore,MacKenzie
905,Erik Miller,669062,SF,RP,Miller,Erik,Miller,Erik
907,DL Hall,669084,MIL,RP,Hall,DL,Hall,DL
909,Matt Cronin,669091,SEA,RP,Cronin,Matt,Cronin,Matt
910,Jeremiah Estrada,669093,SD,RP,Estrada,Jeremiah,Estrada,Jeremiah
911,John McMillon,669111,PHI,RP,McMillon,John,McMillon,John
915,Dustin May,669160,BOS,SP,May,Dustin,May,Dustin
916,Kyle Hurt,669165,LAD,RP,Hurt,Kyle,Hurt,Kyle
917,Jonathan Heasley,669169,KC,RP,Heasley,Jonathan,Heasley,Jonathan
918,Ryne Nelson,669194,ARI,SP,Nelson,Ryne,Nelson,Ryne
919,Lake Bachar,669199,MIA,RP,Bachar,Lake,Bachar,Lake
921,Corbin Burnes,669203,ARI,SP,Burnes,Corbin,Burnes,Corbin
923,Keegan Akin,669211,BAL,RP,Akin,Keegan,Akin,Keegan
924,Eli Morgan,669212,CHC,RP,Morgan,Eli,Morgan,Eli
935,Joel Kuhnel,669270,NYY,RP,Kuhnel,Joel,Kuhnel,Joel
936,Dylan Lee,669276,ATL,RP,Lee,Dylan,Lee,Dylan
939,Logan Gilbert,669302,SEA,SP,Gilbert,Logan,Gilbert,Logan
941,Sean Reynolds,669308,SD,RP,Reynolds,Sean,Reynolds,Sean
944,Tyler Wells,669330,BAL,SP,Wells,Tyler,Wells,Tyler
946,Shane Baz,669358,TB,SP,Baz,Shane,Baz,Shane
949,Asa Lacy,669370,KC,SP,Lacy,Asa,Lacy,Asa
950,Cole Henry,669371,WSH,RP,Henry,Cole,Henry,Cole
951,J.T. Ginn,669372,ATH,SP,Ginn,J.T.,Ginn,J.T.
952,Tarik Skubal,669373,DET,SP,Skubal,Tarik,Skubal,Tarik
955,Carmen Mlodzinski,669387,PIT,SP,Mlodzinski,Carmen,Mlodzinski,Carmen
956,Owen White,669391,CHW,RP,White,Owen,White,Owen
959,Dylan Coleman,669395,BAL,RP,Coleman,Dylan,Coleman,Dylan
963,Matt Sauer,669422,LAD,RP,Sauer,Matt,Sauer,Matt
964,Trevor Rogers,669432,BAL,SP,Rogers,Trevor,Rogers,Trevor
965,Mason Englert,669438,TB,RP,Englert,Mason,Englert,Mason
966,Chandler Champlain,669441,KC,SP,Champlain,Chandler,Champlain,Chandler
968,Shane Bieber,669456,TOR,SP,Bieber,Shane,Bieber,Shane
969,Kyle Nelson,669459,ARI,RP,Nelson,Kyle,Nelson,Kyle
970,Matthew Liberatore,669461,STL,SP,Liberatore,Matthew,Liberatore,Matthew
971,Andre Pallante,669467,STL,SP,Pallante,Andre,Pallante,Andre
974,Joe Barlow,669618,TEX,RP,Barlow,Joe,Barlow,Joe
975,Brady Basso,669620,ATH,RP,Basso,Brady,Basso,Brady
976,Anthony Bender,669622,MIA,RP,Bender,Anthony,Bender,Anthony
977,Sam Long,669674,KC,RP,Long,Sam,Long,Sam
978,Chris Murphy,669684,BOS,RP,Murphy,Chris,Murphy,Chris
982,Greg Weissert,669711,BOS,RP,Weissert,Greg,Weissert,Greg
983,Hayden Wesneski,669713,HOU,SP,Wesneski,Hayden,Wesneski,Hayden
986,Davis Daniel,669721,ATL,SP,Daniel,Davis,Daniel,Davis
988,Brenan Hanifee,669724,DET,RP,Hanifee,Brenan,Hanifee,Brenan
989,Chris Rodriguez,669735,CHW,RP,Rodriguez,Chris,Rodriguez,Chris
992,Ronel Blanco,669854,HOU,SP,Blanco,Ronel,Blanco,Ronel
994,Jason Alexander,669920,HOU,SP,Alexander,Jason,Alexander,Jason
995,George Kirby,669923,SEA,SP,Kirby,George,Kirby,George
997,Jesse Scholtens,669947,TB,RP,Scholtens,Jesse,Scholtens,Jesse
999,Matt Festa,670036,CLE,RP,Festa,Matt,Festa,Matt
1001,Colin Holderman,670059,PIT,RP,Holderman,Colin,Holderman,Colin
1002,Wyatt Mills,670090,BOS,RP,Mills,Wyatt,Mills,Wyatt
1005,Bowden Francis,670102,TOR,SP,Francis,Bowden,Francis,Bowden
1008,Parker Dunshee,670161,WSH,RP,Dunshee,Parker,Dunshee,Parker
1009,John Schreiber,670167,KC,RP,Schreiber,John,Schreiber,John
1010,Josh Winckowski,670174,BOS,RP,Winckowski,Josh,Winckowski,Josh
1011,Garrett Acton,670183,TB,RP,Acton,Garrett,Acton,Garrett
1015,Darius Vines,670241,ATL,SP,Vines,Darius,Vines,Darius
1017,David Bednar,670280,NYY,RP,Bednar,David,Bednar,David
1018,Rico Garcia,670329,BAL,RP,Garcia,Rico,Garcia,Rico
1021,Aaron Fossas,670579,CIN,P,Fossas,Aaron,Fossas,Aaron
1025,Logan Gillaspie,670810,SD,RP,Gillaspie,Logan,Gillaspie,Logan
1028,Guillo Zuniga,670871,SEA,RP,Zuniga,Guillo,Zuñiga,Guillo
1029,Johan Oviedo,670912,PIT,SP,Oviedo,Johan,Oviedo,Johan
1030,Edwin Uceta,670955,TB,RP,Uceta,Edwin,Uceta,Edwin
1031,Adrian Morejon,670970,SD,RP,Morejon,Adrian,Morejon,Adrian
1032,Yohan Ramirez,670990,PIT,RP,Ramirez,Yohan,Ramírez,Yohan
1035,Andrew Abbott,671096,CIN,SP,Abbott,Andrew,Abbott,Andrew
1036,Logan Allen,671106,CLE,SP,Allen,Logan,Allen,Logan
1037,Jake Eder,671109,WSH,RP,Eder,Jake,Eder,Jake
1038,Sammy Peralta,671111,LAA,RP,Peralta,Sammy,Peralta,Sammy
1040,Jackson Rutledge,671131,WSH,RP,Rutledge,Jackson,Rutledge,Jackson
1041,Connor Thomas,671162,MIL,RP,Thomas,Connor,Thomas,Connor
1042,Joe Boyle,671212,TB,SP,Boyle,Joe,Boyle,Joe
1052,Michel Otanez,671305,ATH,RP,Otanez,Michel,Otañez,Michel
1053,Jason Foley,671345,DET,RP,Foley,Jason,Foley,Jason
1055,Marquis Grissom Jr.,671726,WSH,RP,Grissom Jr.,Marquis,Grissom Jr.,Marquis
1057,Taj Bradley,671737,MIN,SP,Bradley,Taj,Bradley,Taj
1060,Cade Smith,671922,CLE,RP,Smith,Cade,Smith,Cade
1061,Adam Macko,671936,TOR,SP,Macko,Adam,Macko,Adam
1064,Eric Pardinho,672078,TOR,RP,Pardinho,Eric,Pardinho,Eric
1067,Reid Detmers,672282,LAA,RP,Detmers,Reid,Detmers,Reid
1073,Kaleb Ort,672391,HOU,RP,Ort,Kaleb,Ort,Kaleb
1074,Keider Montero,672456,DET,SP,Montero,Keider,Montero,Keider
1076,Helcris Olivarez,672487,SF,RP,Olivarez,Helcris,Olivarez,Helcris
1080,Carlos Hernandez,672578,CLE,RP,Hernandez,Carlos,Hernández,Carlos
1082,Angel Zerpa,672582,KC,RP,Zerpa,Angel,Zerpa,Angel
1083,Gerardo Carrillo,672629,TEX,RP,Carrillo,Gerardo,Carrillo,Gerardo
1087,Roansy Contreras,672710,COL,RP,Contreras,Roansy,Contreras,Roansy
1089,Juan Then,672730,CHW,RP,Then,Juan,Then,Juan
1093,Yoendrys Gomez,672782,CHW,SP,Gomez,Yoendrys,Gómez,Yoendrys
1094,Jairo Solis,672810,HOU,SP,Solis,Jairo,Solis,Jairo
1097,Francisco Morales,672839,ARI,RP,Morales,Francisco,Morales,Francisco
1098,Carlos Vargas,672841,SEA,RP,Vargas,Carlos,Vargas,Carlos
1099,Joan Adon,672851,WSH,RP,Adon,Joan,Adon,Joan
1100,Prelander Berroa,672860,CHW,RP,Berroa,Prelander,Berroa,Prelander
1103,Dedniel Nunez,673380,NYM,RP,Nunez,Dedniel,Núñez,Dedniel
1105,Yuki Matsui,673513,SD,RP,Matsui,Yuki,Matsui,Yuki
1106,Kodai Senga,673540,NYM,SP,Senga,Kodai,Senga,Kodai
1108,Jordan Leasure,673929,CHW,RP,Leasure,Jordan,Leasure,Jordan
1111,Cody Bradford,674003,TEX,SP,Bradford,Cody,Bradford,Cody
1112,Tommy Henry,674072,ARI,RP,Henry,Tommy,Henry,Tommy
1113,Eduardo Salazar,674285,WSH,RP,Salazar,Eduardo,Salazar,Eduardo
1114,Osvaldo Bido,674370,ATH,SP,Bido,Osvaldo,Bido,Osvaldo
1116,Steven Cruz,674444,KC,RP,Cruz,Steven,Cruz,Steven
1117,Michael Plassmeyer,674681,TEX,SP,Plassmeyer,Michael,Plassmeyer,Michael
1118,Andrew Alvarez,674841,WSH,SP,Alvarez,Andrew,Alvarez,Andrew
1119,Sean Guenther,674944,DET,RP,Guenther,Sean,Guenther,Sean
1120,Troy Melton,675512,DET,SP,Melton,Troy,Melton,Troy
1121,Xzavion Curry,675540,COL,RP,Curry,Xzavion,Curry,Xzavion
1122,Michael Grove,675627,LAD,RP,Grove,Michael,Grove,Michael
1124,Michael Mercado,675650,PHI,RP,Mercado,Michael,Mercado,Michael
1126,Spencer Strider,675911,ATL,SP,Strider,Spencer,Strider,Spencer
1128,James Karinchak,675916,CHW,RP,Karinchak,James,Karinchak,James
1131,Cody Bolton,675989,HOU,RP,Bolton,Cody,Bolton,Cody
1133,Griff McGarry,676046,PHI,RP,McGarry,Griff,McGarry,Griff
1134,Packy Naughton,676050,STL,RP,Naughton,Packy,Naughton,Packy
1137,Janson Junk,676083,MIA,SP,Junk,Janson,Junk,Janson
1138,Collin Snider,676092,SEA,RP,Snider,Collin,Snider,Collin
1139,Jeff Criswell,676105,COL,RP,Criswell,Jeff,Criswell,Jeff
1140,Emerson Hancock,676106,SEA,SP,Hancock,Emerson,Hancock,Emerson
1143,Jose Butto,676130,SF,RP,Butto,Jose,Buttó,José
1144,Freddy Tarnok,676206,MIA,RP,Tarnok,Freddy,Tarnok,Freddy
1145,Seth Elledge,676220,ATH,RP,Elledge,Seth,Elledge,Seth
1146,Ryan Walker,676254,SF,RP,Walker,Ryan,Walker,Ryan
1147,Jack Dreyer,676263,LAD,RP,Dreyer,Jack,Dreyer,Jack
1148,Cory Abbott,676265,TEX,RP,Abbott,Cory,Abbott,Cory
1149,Bobby Miller,676272,LAD,SP,Miller,Bobby,Miller,Bobby
1150,Joey Cantillo,676282,CLE,SP,Cantillo,Joey,Cantillo,Joey
1154,Robert Garcia,676395,TEX,RP,Garcia,Robert,Garcia,Robert
1155,Brant Hurter,676428,DET,RP,Hurter,Brant,Hurter,Brant
1157,Tanner Bibee,676440,CLE,SP,Bibee,Tanner,Bibee,Tanner
1159,Colton Gordon,676467,HOU,SP,Gordon,Colton,Gordon,Colton
1161,Garrett Whitlock,676477,BOS,RP,Whitlock,Garrett,Whitlock,Garrett
1163,Ben Casparius,676508,LAD,SP,Casparius,Ben,Casparius,Ben
1164,Nolan Hoffman,676510,PHI,SP,Hoffman,Nolan,Hoffman,Nolan
1165,Calvin Faucher,676534,MIA,RP,Faucher,Calvin,Faucher,Calvin
1167,Ricky Vanasco,676568,DET,RP,Vanasco,Ricky,Vanasco,Ricky
1169,Josh Fleming,676596,SEA,RP,Fleming,Josh,Fleming,Josh
1170,Tyler Zuber,676604,MIA,RP,Zuber,Tyler,Zuber,Tyler
1172,Riley O’Brien,676617,STL,RP,O’Brien,Riley,O’Brien,Riley
1175,Max Lazar,676661,PHI,RP,Lazar,Max,Lazar,Max
1176,JP Sears,676664,SD,SP,Sears,JP,Sears,JP
1178,Tom Cosgrove,676680,CHC,RP,Cosgrove,Tom,Cosgrove,Tom
1179,Will Vest,676684,DET,RP,Vest,Will,Vest,Will
1182,Hunter Stratton,676702,ATL,RP,Stratton,Hunter,Stratton,Hunter
1183,Kutter Crawford,676710,BOS,SP,Crawford,Kutter,Crawford,Kutter
1184,Brandon Hughes,676714,CHC,RP,Hughes,Brandon,Hughes,Brandon
1185,Tommy Romero,676720,CHC,SP,Romero,Tommy,Romero,Tommy
1187,Isaac Mattson,676755,PIT,RP,Mattson,Isaac,Mattson,Isaac
1189,Ron Marinaccio,676760,SD,RP,Marinaccio,Ron,Marinaccio,Ron
